Mapa,Cve_Ent,Nom_Ent,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ambito,Latitud,Longitud,Altitud,Cve_Carta
30031560,3,Baja California Sur,3,La Paz,1560,Punta Pescadero,R,"23°47´55.339N""","109°42´00.506W""",11,F12B14
30031561,3,Baja California Sur,3,La Paz,1561,Punta Prieta,R,"24°13´24.207N""","110°18´32.459W""",16,G12D83
30031562,3,Baja California Sur,3,La Paz,1562,La Raizuda,R,"23°53´44.664N""","110°03´41.353W""",419,F12B13
30031565,3,Baja California Sur,3,La Paz,1565,La Reforma,R,"23°31´49.480N""","110°08´56.333W""",280,F12B23
30031569,3,Baja California Sur,3,La Paz,1569,Agrodelicias De La Baja Sur,R,"23°46´31.318N""","110°16´24.248W""",215,F12B13
30031570,3,Baja California Sur,3,La Paz,1570,El Rosario,R,"24°15´31.230N""","110°10´44.988W""",13,G12D73
30031573,3,Baja California Sur,3,La Paz,1573,El Sacrificio,R,"23°21´26.229N""","109°59´24.795W""",537,F12B34
30031574,3,Baja California Sur,3,La Paz,1574,El Salado,R,"23°26´10.306N""","110°10´18.543W""",120,F12B33
30031576,3,Baja California Sur,3,La Paz,1576,El Saltito,R,"23°24´14.717N""","110°03´04.083W""",356,F12B33
30031577,3,Baja California Sur,3,La Paz,1577,Salto De Los Reyes,R,"24°13´19.891N""","110°40´46.066W""",180,G12D81
30031580,3,Baja California Sur,3,La Paz,1580,San Antonio,R,"23°37´54.584N""","110°19´06.260W""",101,F12B23
30031582,3,Baja California Sur,3,La Paz,1582,San Antonio,R,"24°01´04.354N""","110°11´44.092W""",358,G12D83
30031583,3,Baja California Sur,3,La Paz,1583,San Antonio [Loncheria],R,"24°27´15.513N""","111°10´44.549W""",76,G12C79
30031584,3,Baja California Sur,3,La Paz,1584,Agua De San Antonio,R,"23°41´08.067N""","109°56´40.621W""",839,F12B24
30031586,3,Baja California Sur,3,La Paz,1586,San Carlos,R,"24°05´17.527N""","110°20´59.497W""",10,G12D82
30031588,3,Baja California Sur,3,La Paz,1588,San Felipe De Las Playitas,R,"23°32´24.545N""","110°18´02.492W""",17,F12B23
